user_id,rho_a,Nw,pd_t,pw_t,p_Na,A_best,A_fit,p_value_reshuffle
1762777403,3.721502707113185,16.81521130941369,"[0.07352941 0.00735294 0.02941176 0.09558824 0.09558824 0.06617647
 0.08088235 0.04411765 0.04411765 0.03676471 0.09558824 0.05147059
 0.08823529 0.05147059 0.08088235 0.01470588 0.02205882 0.01470588
 0.00735294 0.         0.         0.         0.         0.        ]","[0.16176471 0.06617647 0.13970588 0.05882353 0.11764706 0.27205882
 0.18382353]","[0.43382353 0.19117647 0.11764706 0.07352941 0.02941176 0.03676471
 0.01470588 0.01470588 0.00735294 0.00735294 0.01470588 0.02205882
 0.00735294 0.01470588 0.         0.         0.         0.00735294
 0.         0.00735294]",0.4156108107877566,0.780607246339232,0.0
7094531229,2.9971934407710124,8.811537880837355,"[0.11643836 0.0890411  0.04109589 0.03424658 0.         0.04109589
 0.02054795 0.05479452 0.0890411  0.10273973 0.06164384 0.06164384
 0.02054795 0.00684932 0.09589041 0.04794521 0.01369863 0.00684932
 0.         0.         0.         0.         0.00684932 0.0890411 ]","[0.15068493 0.13013699 0.12328767 0.0890411  0.14383562 0.15753425
 0.20547945]","[0.52054795 0.19863014 0.04109589 0.04109589 0.05479452 0.03424658
 0.01369863 0.02739726 0.02739726 0.00684932 0.00684932 0.01369863
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00684932 0.         0.00684932]",0.498114695376628,0.5352938897166097,0.0
1505404600,12.948965229630431,40.31963676002919,"[0.09009009 0.06306306 0.06306306 0.05405405 0.05405405 0.03603604
 0.04504505 0.06306306 0.01801802 0.02702703 0.03603604 0.02702703
 0.04504505 0.02702703 0.00900901 0.         0.         0.
 0.         0.         0.00900901 0.06306306 0.14414414 0.12612613]","[0.09009009 0.31531532 0.13513514 0.13513514 0.13513514 0.12612613
 0.06306306]","[0.45045045 0.12612613 0.09009009 0.07207207 0.06306306 0.04504505
 0.04504505 0.02702703 0.         0.01801802 0.00900901 0.01801802
 0.         0.01801802 0.         0.         0.00900901 0.
 0.         0.         0.         0.         0.00900901]",0.602831288001797,0.7071655803937713,0.0
271855505,1.3521035423815844,9.947665756077283,"[0.10576923 0.05288462 0.03365385 0.06730769 0.05288462 0.07692308
 0.02403846 0.05288462 0.11057692 0.02403846 0.03365385 0.0625
 0.0625     0.0625     0.01923077 0.03365385 0.00480769 0.
 0.00961538 0.         0.         0.00961538 0.03365385 0.06730769]","[0.20673077 0.15384615 0.14423077 0.125      0.13461538 0.09134615
 0.14423077]","[0.62980769 0.20673077 0.10096154 0.03365385 0.00961538 0.00961538
 0.00480769 0.         0.         0.00480769]",0.3280945000924513,0.383418461585808,0.05
6973904485,2.5760578155962173,12.267894992964026,"[0.04672897 0.06542056 0.01869159 0.05607477 0.12149533 0.07476636
 0.06542056 0.08411215 0.05607477 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.02803738 0.07476636 0.04672897 0.07476636 0.08411215 0.10280374]","[0.13084112 0.14018692 0.14018692 0.12149533 0.14953271 0.17757009
 0.14018692]","[0.42990654 0.1682243  0.13084112 0.05607477 0.06542056 0.00934579
 0.02803738 0.02803738 0.01869159 0.02803738 0.02803738 0.
 0.00934579]",0.4213366699579614,0.4408483985464786,0.0
6601816159,5.09515115124929,8.97084058004735,"[0.07843137 0.01960784 0.11764706 0.07843137 0.05882353 0.11764706
 0.         0.         0.         0.         0.         0.
 0.         0.05882353 0.07843137 0.05882353 0.07843137 0.01960784
 0.09803922 0.03921569 0.03921569 0.         0.03921569 0.01960784]","[0.05882353 0.1372549  0.1372549  0.23529412 0.15686275 0.25490196
 0.01960784]","[0.50980392 0.11764706 0.03921569 0.07843137 0.05882353 0.
 0.         0.         0.         0.01960784 0.03921569 0.
 0.         0.01960784 0.03921569 0.         0.         0.
 0.         0.01960784 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01960784 0.01960784 0.
 0.         0.         0.         0.         0.         0.01960784]",1.0151541864880618,1.1362654727485415,0.0
6221273187,6.262855385325181,32.071468503774874,"[0.04255319 0.04255319 0.         0.         0.07446809 0.04255319
 0.07446809 0.         0.05319149 0.06382979 0.07446809 0.04255319
 0.05319149 0.04255319 0.06382979 0.04255319 0.0106383  0.0106383
 0.06382979 0.05319149 0.07446809 0.0106383  0.03191489 0.03191489]","[0.28723404 0.15957447 0.04255319 0.04255319 0.0212766  0.11702128
 0.32978723]","[0.35106383 0.28723404 0.11702128 0.06382979 0.06382979 0.0212766
 0.0212766  0.0212766  0.0212766  0.         0.0106383  0.
 0.         0.0106383  0.         0.0106383 ]",0.4384287059788451,0.6332248834891647,0.0
1095473116,8.87765618098839,19.29034481597677,"[0.05555556 0.25       0.11111111 0.13888889 0.13888889 0.05555556
 0.02777778 0.05555556 0.05555556 0.         0.02777778 0.02777778
 0.         0.         0.02777778 0.02777778 0.         0.
 0.         0.         0.         0.         0.         0.        ]","[0.02777778 0.05555556 0.02777778 0.02777778 0.         0.61111111
 0.25      ]","[0.22222222 0.08333333 0.13888889 0.19444444 0.02777778 0.
 0.         0.02777778 0.02777778 0.         0.05555556 0.02777778
 0.02777778 0.         0.02777778 0.02777778 0.         0.02777778
 0.02777778 0.02777778 0.         0.         0.02777778]",0.4672619549878653,0.8073682261731044,0.05
5689570195,1.239608441143194,2.895432414984504,"[0.26086957 0.         0.13043478 0.04347826 0.02173913 0.02173913
 0.02173913 0.02173913 0.         0.         0.         0.04347826
 0.04347826 0.         0.06521739 0.02173913 0.06521739 0.08695652
 0.08695652 0.04347826 0.         0.         0.         0.02173913]","[0.17391304 0.08695652 0.15217391 0.15217391 0.19565217 0.04347826
 0.19565217]","[0.45652174 0.15217391 0.13043478 0.04347826 0.06521739 0.02173913
 0.         0.         0.02173913 0.         0.         0.02173913
 0.         0.         0.         0.         0.02173913 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.02173913 0.         0.
 0.         0.         0.         0.         0.         0.02173913
 0.         0.         0.         0.         0.         0.
 0.         0.02173913]",1.4094914418819076,1.1787302525022896,0.0
1151037126,3.339755940911993,18.37845783323251,"[0.01162791 0.         0.         0.         0.         0.
 0.04651163 0.05813953 0.04651163 0.08139535 0.03488372 0.02325581
 0.06976744 0.05813953 0.13953488 0.04651163 0.05813953 0.04651163
 0.05813953 0.03488372 0.03488372 0.05813953 0.01162791 0.08139535]","[0.12790698 0.08139535 0.30232558 0.1744186  0.19767442 0.04651163
 0.06976744]","[0.53488372 0.1627907  0.10465116 0.04651163 0.02325581 0.04651163
 0.01162791 0.02325581 0.01162791 0.02325581 0.         0.
 0.01162791]",0.3208600489295475,0.5494650928751603,0.05
